"Town/County","FIPS","Year","Category","Measure Type","Variable","Value"
"Andover","0901301080","2004","Government","Number","Number of Employers",5
"Andover","0901301080","2005","Government","US Dollars","Annual Average Wage",34176
"Andover","0901301080","2015","Government","Number","Annual Average Employment",81
"Andover","0901301080","2004","All Industries","Number","Number of Employers",59
"Andover","0901301080","2008","Government","US Dollars","Annual Average Wage",36059
"Andover","0901301080","2009","Government","Number","Annual Average Employment",93
"Andover","0901301080","2013","All Industries","Number","Number of Employers",50
"Andover","0901301080","2007","All Industries","Number","Number of Employers",54
"Andover","0901301080","2006","All Industries","US Dollars","Annual Average Wage",28713
"Andover","0901301080","2015","All Industries","Number","Number of Employers",52
"Andover","0901301080","2014","Government","US Dollars","Annual Average Wage",43123
"Andover","0901301080","2015","All Industries","US Dollars","Annual Average Wage",35156
"Andover","0901301080","2007","Government","Number","Number of Employers",5
"Andover","0901301080","2006","All Industries","Number","Number of Employers",55
"Andover","0901301080","2011","All Industries","Number","Annual Average Employment",359
"Andover","0901301080","2006","All Industries","Number","Annual Average Employment",565
"Andover","0901301080","2011","All Industries","US Dollars","Annual Average Wage",35998
"Andover","0901301080","2011","Government","US Dollars","Annual Average Wage",41104
"Andover","0901301080","2013","All Industries","US Dollars","Annual Average Wage",35275
"Andover","0901301080","2013","Government","US Dollars","Annual Average Wage",42564
"Andover","0901301080","2007","All Industries","Number","Annual Average Employment",570
"Andover","0901301080","2008","All Industries","Number","Annual Average Employment",578
"Andover","0901301080","2008","Government","Number","Annual Average Employment",100
"Andover","0901301080","2014","Government","Number","Annual Average Employment",87
"Andover","0901301080","2012","All Industries","US Dollars","Annual Average Wage",33614
"Andover","0901301080","2015","Government","US Dollars","Annual Average Wage",42981
"Andover","0901301080","2011","Government","Number","Number of Employers",4
"Andover","0901301080","2009","All Industries","Number","Annual Average Employment",570
"Andover","0901301080","2006","Government","Number","Number of Employers",5
"Andover","0901301080","2004","Government","Number","Annual Average Employment",88
"Andover","0901301080","2013","Government","Number","Number of Employers",4
"Andover","0901301080","2009","Government","US Dollars","Annual Average Wage",38891
"Andover","0901301080","2006","Government","US Dollars","Annual Average Wage",33568
"Andover","0901301080","2005","Government","Number","Number of Employers",5
"Andover","0901301080","2010","All Industries","Number","Annual Average Employment",535
"Andover","0901301080","2008","All Industries","US Dollars","Annual Average Wage",31183
"Andover","0901301080","2014","All Industries","US Dollars","Annual Average Wage",38108
"Andover","0901301080","2012","Government","Number","Annual Average Employment",90
"Andover","0901301080","2012","Government","US Dollars","Annual Average Wage",38605
"Andover","0901301080","2015","Government","Number","Number of Employers",4
"Andover","0901301080","2011","All Industries","Number","Number of Employers",53
"Andover","0901301080","2015","All Industries","Number","Annual Average Employment",372
"Andover","0901301080","2004","All Industries","Number","Annual Average Employment",527
"Andover","0901301080","2006","Government","Number","Annual Average Employment",88
"Andover","0901301080","2004","Government","US Dollars","Annual Average Wage",31927
